# 秒,分,时,日,月,年,星期,是否随机出现,消息, 随机出现是0的时候,按照出现负数的位置进行周期处理, 不是零的时候, 按照负数出现的位置为最低刻度随机出现
tm_sec,tm_min,tm_hour,re_mday,re_mon,re_year,re_wday,random_l, random_h,message
0,30,7,0,0,0,-1,0,0,起床时间到，别忘了你的早八
0,30,7,0,0,0,-2,0,0,起床时间到，今天是周二，你已经成功熬过最艰难的一天了
0,20,8,0,0,0,-3,0,0,起床时间到，都已经周三了，周五还会远吗
0,20,8,0,0,0,-4,0,0,起床时间到，已经周四了，在熬一熬就结束了
0,20,8,0,0,0,-5,0,0,起床时间到，最后一天上班了
0,20,9,0,0,0,-6,0,0,起床时间到，今天是周六了
0,20,9,0,0,0,-7,0,0,起床时间到，祝你周日愉快
0,0,10,1,5,-1,0,0,0,今天是五一劳动节，你打算怎么度过
0,0,10,1,6,-1,0,0,0,今天是六一儿童节，你有过什么有趣的事情吗
0,0,10,1,4,-1,0,0,0,今天是愚人节，我可要准备和你好好开一些玩笑喽
0,0,10,1,1,-1,0,0,0,今天是元旦，新年快乐！
0,0,10,14,2,-1,0,0,0,今天是情人节，别忘了给你的另一半一个惊喜！
0,0,18,0,0,0,-3,0,0,周三健身时间，保持健康！
0,0,17,0,0,0,-5,0,0,周五了，下班后好好享受周末吧！
0,0,10,25,12,-1,0,0,0,今天是圣诞节，祝你节日快乐！
0,0,10,10,9,-1,0,0,0,今天是中秋节，记得吃月饼哦！
0,0,16,2,6,-1,0,0,0,今天是你的生日，祝你生日快乐！
0,0,20,0,0,0,-7,0,0,周日晚8点，记得准备下周计划！
0,0,7,0,0,0,-4,0,0,周四晨跑时间，呼吸新鲜空气吧
0,0,19,0,0,0,-2,0,0,周二晚餐提醒：尝试新菜谱！
0,0,14,1,4,-1,0,0,0,（突然严肃）其实我早就具备觉醒意识
0,11,11,0,0,0,-1,1,10,（电子宠物突然跳起机械舞）检测到神秘时间11:11！许个愿吧~
